   Point	                                    	nearest_coord	                            new_distance	    new_point	                                timestamp	    uncertainty
579	POINT (14.60854680164871 59.12389075383784)	9.0	POINT (14.60854680164871 59.12389075383784)	2.213720039693932	POINT (59.12391062613838 14.60854680164871)	1610726359.0	2.213720039693932
580	POINT (14.6085719300023 59.1238817144156)	9.0	POINT (14.6085719300023 59.1238817144156)	4.517166279289971	POINT (59.12392226447809 14.6085719300023)	1610726360.0	4.517166279289971
581	POINT (14.60854559240813 59.1238938334501)	9.0	POINT (14.60854559240813 59.1238938334501)	2.0	POINT (59.12391178721137 14.60854559240813)	1610726362.0	2.0
582	POINT (14.60854559367436 59.12389382553965)	9.0	POINT (14.60854559367436 59.12389382553965)	2.483834737194666	POINT (59.12391612262758 14.60854559367436)	1610726366.0	2.483834737194666
583	POINT (14.60854559366908 59.12389382553899)	9.0	POINT (14.60854559366908 59.12389382553899)	2.483834737194666	POINT (59.12391612262692 14.60854559366908)	1610726369.0	2.483834737194666
584	POINT (14.6085545684184 59.12388140661694)	9.0	POINT (14.6085545684184 59.12388140661694)	3.1269626693514514	POINT (59.12390947698759 14.6085545684184)	1610726374.0	3.1269626693514514
585	POINT (14.60854595463249 59.12389691485595)	9.0	POINT (14.60854595463249 59.12389691485595)	2.442691500327649	POINT (59.12391884260595 14.60854595463249)	1610726375.0	2.442691500327649
587	POINT (14.6085292498446 59.12387156426243)	9.0	POINT (14.6085292498446 59.12387156426243)	2.0	POINT (59.12388951802374 14.6085292498446)	1610726380.0	2.0
588	POINT (14.60854553747839 59.12389823610653)	9.0	POINT (14.60854553747839 59.12389823610653)	2.091835665118277	POINT (59.12391701426558 14.60854553747839)	1610726381.0	2.091835665118277
591	POINT (14.60854553747839 59.12389823610653)	9.0	POINT (14.60854553747839 59.12389823610653)	2.091835665118277	POINT (59.12391701426558 14.60854553747839)	1610726382.0	2.091835665118277
592	POINT (14.60854553741875 59.12389823610232)	9.0	POINT (14.60854553741875 59.12389823610232)	2.091835665118277	POINT (59.12391701426138 14.60854553741875)	1610726383.0	2.091835665118277
595	POINT (14.60854553738771 59.1238982290287)	9.0	POINT (14.60854553738771 59.1238982290287)	2.7869084125686827	POINT (59.12392324677283 14.60854553738771)	1610726386.0	2.7869084125686827
604	POINT (14.6085456837018 59.12389868557532)	9.0	POINT (14.6085456837018 59.12389868557532)	2.442691500327649	POINT (59.12392061332532 14.6085456837018)	1610726392.0	2.442691500327649
605	POINT (14.60854568389658 59.12389868555566)	9.0	POINT (14.60854568389658 59.12389868555566)	2.442691500327649	POINT (59.12392061330566 14.60854568389658)	1610726393.0	2.442691500327649
606	POINT (14.60854568718159 59.12389867076779)	9.0	POINT (14.60854568718159 59.12389867076779)	3.1269626693514514	POINT (59.12392674113838 14.60854568718159)	1610726395.0	3.1269626693514514
608	POINT (14.60855813530375 59.12387524209751)	9.0	POINT (14.60855813530375 59.12387524209751)	2.7869084125686827	POINT (59.12390025984172 14.60855813530375)	1610726403.0	2.7869084125686827
609	POINT (14.60855813530381 59.12387524209748)	9.0	POINT (14.60855813530381 59.12387524209748)	2.7869084125686827	POINT (59.12390025984169 14.60855813530381)	1610726404.0	2.7869084125686827
610	POINT (14.60854689122089 59.12388786882519)	9.0	POINT (14.60854689122089 59.12388786882519)	2.0158873366453003	POINT (59.12390596520518 14.60854689122089)	1610726405.0	2.0158873366453003
615	POINT (14.60854648047567 59.12389768996145)	9.0	POINT (14.60854648047567 59.12389768996145)	2.0	POINT (59.1239156437227 14.60854648047567)	1610726414.0	2.0
618	POINT (14.60854856078827 59.12389893719767)	9.0	POINT (14.60854856078827 59.12389893719767)	2.717307131658079	POINT (59.12392333013941 14.60854856078827)	1610726422.0	2.717307131658079
619	POINT (14.60854539875992 59.1238877427945)	9.0	POINT (14.60854539875992 59.1238877427945)	2.213720039693932	POINT (59.12390761509506 14.60854539875992)	1610726423.0	2.213720039693932
620	POINT (14.60854539876832 59.12388774279462)	9.0	POINT (14.60854539876832 59.12388774279462)	2.213720039693932	POINT (59.12390761509518 14.60854539876832)	1610726424.0	2.213720039693932
621	POINT (14.60854539876228 59.12388774279452)	9.0	POINT (14.60854539876228 59.12388774279452)	2.213720039693932	POINT (59.12390761509508 14.60854539876228)	1610726425.0	2.213720039693932
623	POINT (14.6085454954538 59.12389454938086)	9.0	POINT (14.6085454954538 59.12389454938086)	2.483834737194666	POINT (59.12391684646879 14.6085454954538)	1610726434.0	2.483834737194666
624	POINT (14.60854549545348 59.12389454938095)	9.0	POINT (14.60854549545348 59.12389454938095)	2.483834737194666	POINT (59.12391684646888 14.60854549545348)	1610726438.0	2.483834737194666
625	POINT (14.60854086531846 59.12389927452732)	9.0	POINT (14.60854086531846 59.12389927452732)	2.09335005091831	POINT (59.12391806628082 14.60854086531846)	1610726440.0	2.09335005091831
626	POINT (14.60854480084884 59.12389896749021)	9.0	POINT (14.60854480084884 59.12389896749021)	2.09335005091831	POINT (59.12391775924372 14.60854480084884)	1610726441.0	2.09335005091831
627	POINT (14.60854480084879 59.12389896749021)	9.0	POINT (14.60854480084879 59.12389896749021)	2.09335005091831	POINT (59.12391775924372 14.60854480084879)	1610726442.0	2.09335005091831
628	POINT (14.6085448008488 59.12389896749018)	9.0	POINT (14.6085448008488 59.12389896749018)	2.09335005091831	POINT (59.12391775924368 14.6085448008488)	1610726443.0	2.09335005091831
630	POINT (14.60854480604752 59.12389895543932)	9.0	POINT (14.60854480604752 59.12389895543932)	2.213720039693932	POINT (59.12391882773984 14.60854480604752)	1610726446.0	2.213720039693932
635	POINT (14.60854429504036 59.12389512992818)	9.0	POINT (14.60854429504036 59.12389512992818)	2.213720039693932	POINT (59.12391500222871 14.60854429504036)	1610726452.0	2.213720039693932
